,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Year
45,Kottakkal,46,GEN,Malappuram,Abdussamad Samadani,Muslim League Kerala State Committee,"1,67,498","1,18,343",70.7 %,"35,902",30.3%,2011
46,Thavanur,47,GEN,Malappuram,Dr.K.T. Jaleel,Independent,"1,56,317","1,22,297",78.2 %,"6,854",5.6%,2011
47,Ponnani,48,GEN,Malappuram,P.Sreeramakrishnan,Communist Party Of India (Marxist),"1,58,680","1,21,158",76.4 %,"4,101",3.4%,2011
48,Thrithala,49,GEN,Palakkad,Adv.V.T. Balram,Indian National Congress,"1,55,638","1,22,120",78.5 %,"3,197",2.6%,2011
49,Pattambi,50,GEN,Palakkad,C.P.Mohammed,Indian National Congress,"1,53,714","1,17,818",76.6 %,"12,475",10.6%,2011
50,Shornur,51,GEN,Palakkad,K.S.Saleekha,Communist Party Of India (Marxist),"1,63,885","1,20,260",73.4 %,"13,493",11.2%,2011
51,Ottapalam,52,GEN,Palakkad,M. Hamza,Communist Party Of India (Marxist),"1,75,065","1,31,434",75.1 %,"13,203",10.0%,2011
52,Kongad,53,SC,Palakkad,K.V.Vijayadas,Communist Party Of India (Marxist),"1,55,792","1,13,483",72.8 %,"3,565",3.1%,2011
53,Mannarkad,54,GEN,Palakkad,Advocate N. Samsudheen,Muslim League Kerala State Committee,"1,66,275","1,21,195",72.9 %,"8,270",6.8%,2011
54,Malampuzha,55,GEN,Palakkad,V.S.Achuthanandan.,Communist Party Of India (Marxist),"1,80,662","1,36,316",75.5 %,"23,440",17.2%,2011
55,Palakkad,56,GEN,Palakkad,Shafi Parambil,Indian National Congress,"1,54,391","1,12,347",72.8 %,"7,403",6.6%,2011
56,Tarur,57,SC,Palakkad,A. K. Balan,Communist Party Of India (Marxist),"1,49,389","1,12,288",75.2 %,"25,756",22.9%,2011
57,Chittur,58,GEN,Palakkad,K.Achuthan,Indian National Congress,"1,67,800","1,36,199",81.2 %,"12,330",9.1%,2011
58,Nenmara,59,GEN,Palakkad,V. Chenthamarakshan,Communist Party Of India (Marxist),"1,72,069","1,34,074",77.9 %,"8,694",6.5%,2011
59,Alathur,60,GEN,Palakkad,M.Chandran,Communist Party Of India (Marxist),"1,52,827","1,16,045",75.9 %,"24,741",21.3%,2011
60,Chelakkara,61,SC,Thrissur,K.Radhakrishnan,Communist Party Of India (Marxist),"1,73,746","1,32,942",76.5 %,"24,676",18.6%,2011
61,Kunnamkulam,62,GEN,Thrissur,Babu.M.Palissery,Communist Party Of India (Marxist),"1,74,161","1,31,344",75.4 %,481,0.4%,2011
62,Guruvayoor,63,GEN,Thrissur,K.V.Abdul Khader,Communist Party Of India (Marxist),"1,78,144","1,28,276",72.0 %,"9,968",7.8%,2011
63,Manalur,64,GEN,Thrissur,P.A. Madhavan,Indian National Congress,"1,89,976","1,39,491",73.4 %,481,0.3%,2011
64,Wadakkanchery,65,GEN,Thrissur,C.N.Balakrishnan,Indian National Congress,"1,78,019","1,39,184",78.2 %,"6,685",4.8%,2011
65,Ollur,66,GEN,Thrissur,M.P. Vincent,Indian National Congress,"1,76,875","1,31,718",74.5 %,"6,247",4.7%,2011
66,Thrissur,67,GEN,Thrissur,Adv.Therambil Ramakrishnan,Indian National Congress,"1,61,896","1,12,794",69.7 %,"16,169",14.3%,2011
67,Nattika,68,SC,Thrissur,Geetha Gopi,Communist Party Of India,"1,79,535","1,28,582",71.6 %,"16,054",12.5%,2011
68,Kaipamangalam,69,GEN,Thrissur,Adv.V S Sunilkumar,Communist Party Of India,"1,51,356","1,17,110",77.4 %,"13,570",11.6%,2011
69,Irinjalakkuda,70,GEN,Thrissur,Adv.Thomas Unniyadan,Kerala Congress(M),"1,74,216","1,32,379",76.0 %,"12,404",9.4%,2011
70,Puthukkad,71,GEN,Thrissur,Prof: C. Raveendranath,Communist Party Of India (Marxist),"1,76,055","1,38,251",78.5 %,"26,482",19.2%,2011
71,Chalakkudy,72,GEN,Thrissur,Devassy.B.D.,Communist Party Of India (Marxist),"1,72,679","1,32,037",76.5 %,"2,549",1.9%,2011
72,Kodungallur,73,GEN,Thrissur,T.N.Prathapan,Indian National Congress,"1,69,056","1,28,714",76.1 %,"9,432",7.3%,2011
73,Perumbavoor,74,GEN,Ernakulam,Saju Paul,Communist Party Of India (Marxist),"1,54,432","1,25,739",81.4 %,"3,382",2.7%,2011
74,Angamaly,75,GEN,Ernakulam,Advocate Jose Thettayil,Janata Dal (Secular),"1,52,370","1,24,086",81.4 %,"7,170",5.8%,2011
75,Aluva,76,GEN,Ernakulam,Anwar Sadath,Indian National Congress,"1,58,919","1,27,870",80.5 %,"13,214",10.3%,2011
76,Kalamassery,77,GEN,Ernakulam,V. K. Ebrahim Kunju,Muslim League Kerala State Committee,"1,65,105","1,31,676",79.8 %,"7,789",5.9%,2011
77,Paravur,78,GEN,Ernakulam,Adv.V.D.Satheesan,Indian National Congress,"1,71,172","1,44,124",84.2 %,"11,349",7.9%,2011
78,Vypen,79,GEN,Ernakulam,S.Sarma,Communist Party Of India (Marxist),"1,52,029","1,20,726",79.4 %,"5,242",4.3%,2011
79,Kochi,80,GEN,Ernakulam,Dominic Presentation,Indian National Congress,"1,57,727","1,05,592",66.9 %,"16,503",15.6%,2011
80,Thripunithura,81,GEN,Ernakulam,K.Babu,Indian National Congress,"1,71,624","1,30,979",76.3 %,"15,778",12.0%,2011
81,Eranakulam,82,GEN,Ernakulam,Hibi Eden,Indian National Congress,"1,35,675",97297,71.7 %,"32,437",33.3%,2011
82,Thrikkakara,83,GEN,Ernakulam,Benny Behanan,Indian National Congress,"1,59,877","1,17,853",73.7 %,"22,406",19.0%,2011
83,Kunnathunad,84,SC,Ernakulam,V.P. Sajeendran,Indian National Congress,"1,53,097","1,27,972",83.6 %,"8,732",6.8%,2011
84,Piravom,85,GEN,Ernakulam,T. M. Jacob,Kerala Congress (Jacob),"1,76,352","1,39,928",79.3 %,157,0.1%,2011
85,Muvattupuzha,86,GEN,Ernakulam,Joseph Vazhackkan,Indian National Congress,"1,54,469","1,16,261",75.3 %,"5,163",4.4%,2011
86,Kothamangalam,87,GEN,Ernakulam,Shev.T.U.Kuruvilla,Kerala Congress(M),"1,44,251","1,07,437",74.5 %,"12,222",11.4%,2011
87,Devikulam,88,SC,Idukki,S. Rajendran,Communist Party Of India (Marxist),"1,47,855","1,07,059",72.4 %,"4,078",3.8%,2011
88,Udumbanchola,89,GEN,Idukki,K.K.Jayachandran,Communist Party Of India (Marxist),"1,53,563","1,10,563",72.0 %,"9,833",8.9%,2011
89,Thodupuzha,90,GEN,Idukki,P.J.Joseph,Kerala Congress(M),"1,77,529","1,27,738",72.0 %,"22,868",17.9%,2011
90,Idukki,91,GEN,Idukki,"Roshy Augustine,",Kerala Congress(M),"1,69,984","1,19,773",70.5 %,"15,806",13.2%,2011
91,Peerumade,92,GEN,Idukki,E. S. Bijimol,Communist Party Of India,"1,65,380","1,15,204",69.7 %,"4,777",4.1%,2011
92,Pala,93,GEN,Kottayam,K.M.Mani,Kerala Congress(M),"1,69,192","1,24,619",73.7 %,"5,259",4.2%,2011
93,Kaduthuruthy,94,GEN,Kottayam,Adv.Mons Joseph,Kerala Congress(M),"1,71,486","1,22,026",71.2 %,"23,057",18.9%,2011
94,Vaikom,95,SC,Kottayam,K. Ajith,Communist Party Of India,"1,53,672","1,21,265",78.9 %,"10,568",8.7%,2011
95,Ettumanoor,96,GEN,Kottayam,Adv. K. Suresh Kurup,Communist Party Of India (Marxist),"1,50,807","1,18,257",78.4 %,"1,801",1.5%,2011
96,Kottayam,97,GEN,Kottayam,Thiruvanchoor Radhakrishnan,Indian National Congress,"1,48,225","1,14,901",77.5 %,711,0.6%,2011
97,Puthuppally,98,GEN,Kottayam,Oommen Chandy,Indian National Congress,"1,57,222","1,17,035",74.4 %,"33,255",28.4%,2011
98,Changanassery,99,GEN,Kottayam,C.F Thomas,Kerala Congress(M),"1,49,193","1,08,257",72.6 %,"2,554",2.4%,2011
99,Kanjirappally,100,GEN,Kottayam,Dr. N.Jayaraj,Kerala Congress(M),"1,61,648","1,13,141",70.0 %,"12,206",10.8%,2011
100,Poonjar,101,GEN,Kottayam,"P C George, Plathottam",Kerala Congress(M),"1,67,928","1,17,809",70.2 %,"15,704",13.3%,2011
101,Aroor,102,GEN,Alappuzha,Adv.Am.Ariff,Communist Party Of India (Marxist),"1,74,130","1,46,676",84.2 %,"16,852",11.5%,2011
102,Cherthala,103,GEN,Alappuzha,P.Thilothaman,Communist Party Of India,"1,90,806","1,62,283",85.1 %,"18,315",11.3%,2011
103,Alappuzha,104,GEN,Alappuzha,Dr.T.M.Thomas Isaac,Communist Party Of India (Marxist),"1,73,942","1,41,243",81.2 %,"16,342",11.6%,2011
104,Ambalapuzha,105,GEN,Alappuzha,G.Sudhakaran,Communist Party Of India (Marxist),"1,46,890","1,16,966",79.6 %,"16,580",14.2%,2011
105,Kuttanad,106,GEN,Alappuzha,Thomas Chandy,Nationalist Congress Party,"1,50,213","1,18,110",78.6 %,"7,971",6.7%,2011
106,Haripad,107,GEN,Alappuzha,Ramesh Chennithala,Indian National Congress,"1,71,834","1,34,680",78.4 %,"5,520",4.1%,2011
107,Kayamkulam,108,GEN,Alappuzha,C.K.Sadasivan,Communist Party Of India (Marxist),"1,82,036","1,39,626",76.7 %,"1,315",0.9%,2011
108,Mavelikara,109,SC,Alappuzha,R. Rajesh,Communist Party Of India (Marxist),"1,77,797","1,33,686",75.2 %,"5,149",3.9%,2011
109,Chengannur,110,GEN,Alappuzha,P.C.Vishnunath,Indian National Congress,"1,76,873","1,25,345",70.9 %,"12,500",10.0%,2011
110,Thiruvalla,111,GEN,Pathanamthitta,Adv Mathew T Thomas,Janata Dal (Secular),"1,93,874","1,26,642",65.3 %,"10,767",8.5%,2011
111,Ranni,112,GEN,Pathanamthitta,Raju Abrham,Communist Party Of India (Marxist),"1,75,669","1,20,361",68.5 %,"6,614",5.5%,2011
112,Aranmula,113,GEN,Pathanamthitta,Adv.K.Sivadasan Nair,Indian National Congress,"2,07,256","1,35,975",65.6 %,"6,511",4.8%,2011
113,Konni,114,GEN,Pathanamthitta,Adv. Adoor Prakash,Indian National Congress,"1,82,423","1,31,053",71.8 %,"7,774",5.9%,2011
114,Adoor,115,SC,Pathanamthitta,Chittayam Gopakumar,Communist Party Of India,"1,94,044","1,35,057",69.6 %,607,0.4%,2011
115,Karunagappally,116,GEN,Kollam,C. Divakaran,Communist Party Of India,"1,82,552","1,37,807",75.5 %,"14,522",10.5%,2011
116,Chavara,117,GEN,Kollam,Shibu Baby John,Kerala Revolutionary Socialist Party(Baby John),"1,59,664","1,27,068",79.6 %,"6,061",4.8%,2011
117,Kunnathur,118,SC,Kollam,Kovoor Kunjumon,Revolutionary Socialist Party,"1,94,417","1,43,918",74.0 %,"12,088",8.4%,2011
118,Kottarakkara,119,GEN,Kollam,Adv:p.Aisha Potty,Communist Party Of India (Marxist),"1,84,917","1,37,437",74.3 %,"20,592",15.0%,2011
119,Pathanapuram,120,GEN,Kollam,K.B Ganesh Kumar,Kerala Congress (B),"1,72,960","1,28,367",74.2 %,"20,402",15.9%,2011
120,Punalur,121,GEN,Kollam,Adv.K.Raju,Communist Party Of India,"1,87,071","1,33,245",71.2 %,"18,005",13.5%,2011
121,Chadayamangalam,122,GEN,Kollam,Mullakkara Ratnakaran,Communist Party Of India,"1,77,610","1,27,429",71.7 %,"23,624",18.5%,2011
122,Kundara,123,GEN,Kollam,M.A. Baby,Communist Party Of India (Marxist),"1,78,766","1,27,924",71.6 %,"14,793",11.6%,2011
123,Kollam,124,GEN,Kollam,P.K.Gurudasan,Communist Party Of India (Marxist),"1,60,475","1,14,018",71.1 %,"8,540",7.5%,2011
124,Eravipuram,125,GEN,Kollam,A.A. Azeez,Revolutionary Socialist Party,"1,53,565","1,04,645",68.1 %,"8,012",7.7%,2011
125,Chathannur,126,GEN,Kollam,G.S.Jayalal,Communist Party Of India,"1,60,775","1,14,298",71.1 %,"12,589",11.0%,2011
126,Varkala,127,GEN,Thiruvananthapuram,Varkala Kahar,Indian National Congress,"1,51,930","1,10,227",72.6 %,"10,710",9.7%,2011
127,Attingal,128,SC,Thiruvananthapuram,Advocate. B. Satyan,Communist Party Of India (Marxist),"1,71,684","1,14,638",66.8 %,"30,065",26.2%,2011
128,Chirayinkeezhu,129,SC,Thiruvananthapuram,V.Sasi,Communist Party Of India,"1,69,988","1,12,603",66.2 %,"12,225",10.9%,2011
129,Nedumangad,130,GEN,Thiruvananthapuram,Palode Ravi,Indian National Congress,"1,75,795","1,24,907",71.1 %,"5,030",4.0%,2011
130,Vamanapuram,131,GEN,Thiruvananthapuram,Koliakode.N. Krishnan Nair,Communist Party Of India (Marxist),"1,74,411","1,23,376",70.7 %,"2,236",1.8%,2011
131,Kazhakkoottam,132,GEN,Thiruvananthapuram,Adv. M. A. Vaheed,Indian National Congress,"1,63,199","1,09,498",67.1 %,"2,196",2.0%,2011
132,Vattiyoorkavu,133,GEN,Thiruvananthapuram,K.Muralidharan,Indian National Congress,"1,75,398","1,12,637",64.2 %,"16,167",14.4%,2011
133,Thiruvananthapuram,134,GEN,Thiruvananthapuram,Adv.V.S.Sivakumar,Indian National Congress,"1,77,442","1,07,092",60.4 %,"5,352",5.0%,2011
134,Nemom,135,GEN,Thiruvananthapuram,V.Sivankutty,Communist Party Of India (Marxist),"1,72,493","1,16,474",67.5 %,"6,415",5.5%,2011
135,Aruvikkara,136,GEN,Thiruvananthapuram,G. Karthikeyen,Indian National Congress,"1,65,638","1,16,418",70.3 %,"10,674",9.2%,2011
136,Parassala,137,GEN,Thiruvananthapuram,A.T. George,Indian National Congress,"1,88,442","1,35,211",71.8 %,505,0.4%,2011
137,Kattakkada,138,GEN,Thiruvananthapuram,N Sakthan,Indian National Congress,"1,66,306","1,17,347",70.6 %,"12,916",11.0%,2011
138,Kovalam,139,GEN,Thiruvananthapuram,Jameela Prakasam,Janata Dal (Secular),"1,83,615","1,25,008",68.1 %,"7,205",5.8%,2011
139,Neyyattinkara,140,GEN,Thiruvananthapuram,R Selvaraj,Communist Party Of India (Marxist),"1,57,851","1,11,698",70.8 %,"6,702",6.0%,2011
0,Manjeshwar,1,GEN,Kasaragod,C H Kunhambu,Communist Party Of India (Marxist),"1,54,227","1,10,731",71.8 %,"4,829",4.4%,2006
1,Kasaragod,2,GEN,Kasaragod,C T Ahamedali,Muslim League Kerala State Committee,"1,54,904","1,00,981",65.2 %,"10,342",10.2%,2006
2,Udma,3,GEN,Kasaragod,K V Kunhiraman,Communist Party Of India (Marxist),"1,73,879","1,24,495",71.6 %,"27,294",21.9%,2006
3,Hosdrug,4,SC,Kasaragod,Pallipram Balan,Communist Party Of India,"1,83,771","1,28,318",69.8 %,"34,939",27.2%,2006
4,Trikaripur,5,GEN,Kasaragod,Kunhiraman K,Communist Party Of India (Marxist),"1,85,121","1,44,994",78.3 %,"23,828",16.4%,2006
5,Irikkur,6,GEN,Kannur,Advocate K C Joseph,Indian National Congress,"1,65,884","1,31,616",79.3 %,"1,831",1.4%,2006
6,Payyannur,7,GEN,Kannur,P K Sreemathi Teacher,Communist Party Of India (Marxist),"1,62,770","1,24,733",76.6 %,"36,122",29.0%,2006
7,Taliparamba,8,GEN,Kannur,C.K.P Padmanabhan,Communist Party Of India (Marxist),"1,85,539","1,45,253",78.3 %,"29,538",20.3%,2006
8,Azhikode,9,GEN,Kannur,M Prakasan Master,Communist Party Of India (Marxist),"1,33,825","1,01,723",76.0 %,"29,468",29.0%,2006
9,Kannur,10,GEN,Kannur,K Sudhakaran S/o Ramunni,Indian National Congress,"1,30,348",97372,74.7 %,"8,613",8.8%,2006
10,Edakkad,11,GEN,Kannur,Ramachandran Kadannapally,Congress (Secular),"1,60,984","1,25,022",77.7 %,"30,672",24.5%,2006
11,Thalassery,12,GEN,Kannur,Kodiyeri Balakrishnan,Communist Party Of India (Marxist),"1,31,410","1,01,520",77.3 %,"10,055",9.9%,2006
12,Peringalam,13,GEN,Kannur,K P Mohanan S/o P R Kurup,Janata Dal (Secular),"1,48,842","1,11,382",74.8 %,"19,236",17.3%,2006
13,Kuthuparamba,14,GEN,Kannur,P Jayarajan,Communist Party Of India (Marxist),"1,57,631","1,25,028",79.3 %,"38,327",30.7%,2006
14,Peravoor,15,GEN,Kannur,K K Shylaja Teacher,Communist Party Of India (Marxist),"1,79,145","1,43,654",80.2 %,"9,099",6.3%,2006
15,North Wynad,16,ST,Wayanad,K C Kunhiraman,Communist Party Of India (Marxist),"1,79,901","1,26,735",70.4 %,"15,115",11.9%,2006
16,Vadakara,17,GEN,Kozhikode,Advocate M K Premnath,Janata Dal (Secular),"1,58,018","1,18,963",75.3 %,"21,269",17.9%,2006
17,Nadapuram,18,GEN,Kozhikode,Binoy Viswam,Communist Party Of India,"1,66,365","1,25,912",75.7 %,"17,449",13.9%,2006
18,Meppayur,19,GEN,Kozhikode,K K Lathika,Communist Party Of India (Marxist),"1,61,852","1,33,702",82.6 %,"15,887",11.9%,2006
19,Quilandy,20,GEN,Kozhikode,P Viswan,Communist Party Of India (Marxist),"1,73,818","1,28,230",73.8 %,"18,484",14.4%,2006
20,Perambra,21,GEN,Kozhikode,K Kunhammed Master,Communist Party Of India (Marxist),"1,68,021","1,35,503",80.6 %,"10,640",7.9%,2006
21,Balusseri,22,GEN,Kozhikode,A K Saseendran,Nationalist Congress Party,"1,54,915","1,15,921",74.8 %,"14,160",12.2%,2006
22,Koduvally,23,GEN,Kozhikode,Advocate P T A Rahim,Independent,"1,72,424","1,35,869",78.8 %,"7,506",5.5%,2006
23,Calicut- I,24,GEN,Kozhikode,A Pradeep Kumar,Communist Party Of India (Marxist),"1,34,380",91360,68.0 %,"7,705",8.4%,2006
24,Calicut- Ii,25,GEN,Kozhikode,Advocate P M A Salam,Indian National League,"1,44,934",98517,68.0 %,"14,093",14.3%,2006
25,Beypore,26,GEN,Kozhikode,Elamaram Kareem,Communist Party Of India (Marxist),"1,88,861","1,35,315",71.6 %,"19,618",14.5%,2006
26,Kunnamangalam,27,SC,Kozhikode,U C Raman,Independent,"1,65,951","1,29,760",78.2 %,297,0.2%,2006
27,Thiruvambady,28,GEN,Kozhikode,Mathayi Chacko,Communist Party Of India (Marxist),"1,61,002","1,23,043",76.4 %,"5,479",4.5%,2006
28,Kalpetta,29,GEN,Wayanad,M V Sreyams Kumar,Janata Dal (Secular),"1,57,684","1,14,072",72.3 %,"1,841",1.6%,2006
29,Sulthanbathery,30,GEN,Wayanad,P Krishna Prasad,Communist Party Of India (Marxist),"1,82,483","1,25,238",68.6 %,"25,540",20.4%,2006
30,Wandoor,31,SC,Malappuram,A.P. Anilkumar,Indian National Congress,"2,01,112","1,57,997",78.6 %,"17,161",10.9%,2006
31,Nilambur,32,GEN,Malappuram,Aryadan Muhammed,Indian National Congress,"2,03,352","1,62,804",80.1 %,"18,070",11.1%,2006
32,Manjeri,33,GEN,Malappuram,P.K Abdu Rabb,Muslim League Kerala State Committee,"1,91,141","1,47,031",76.9 %,"15,372",10.5%,2006
33,Malappuram,34,GEN,Malappuram,Advocate M. Ummer,Muslim League Kerala State Committee,"1,86,292","1,19,956",64.4 %,"30,657",25.6%,2006
34,Kondotty,35,GEN,Malappuram,K. Muhammadunni Haji,Muslim League Kerala State Committee,"1,89,580","1,43,648",75.8 %,"14,972",10.4%,2006
35,Tirurangadi,36,GEN,Malappuram,Kutty Ahammed Kutty,Muslim League Kerala State Committee,"1,81,774","1,15,826",63.7 %,"16,123",13.9%,2006
36,Tanur,37,GEN,Malappuram,Abdurahiman Randathani,Muslim League Kerala State Committee,"1,85,327","1,27,564",68.8 %,"11,170",8.8%,2006
37,Tirur,38,GEN,Malappuram,P.P Abdullakkutty,Communist Party Of India (Marxist),"1,86,852","1,46,121",78.2 %,"8,680",5.9%,2006
38,Ponnani,39,GEN,Malappuram,Paloli Mohamedkutty,Communist Party Of India (Marxist),"1,57,795","1,14,368",72.5 %,"28,347",24.8%,2006
39,Kuttippuram,40,GEN,Malappuram,K.T Jaleel,Independent,"1,58,951","1,28,621",80.9 %,"8,781",6.8%,2006
40,Mankada,41,GEN,Malappuram,Manjalamkuzhi Ali,Independent,"1,93,087","1,62,030",83.9 %,"5,073",3.1%,2006
41,Perinthalmanna,42,GEN,Malappuram,Sasi Kumar,Communist Party Of India (Marxist),"1,87,416","1,45,206",77.5 %,"14,003",9.6%,2006
42,Thrithala,43,SC,Palakkad,T.P. Kunjunni,Communist Party Of India (Marxist),"1,60,629","1,22,391",76.2 %,"6,949",5.7%,2006
43,Pattambi,44,GEN,Palakkad,C.P. Mohammed,Indian National Congress,"1,66,031","1,25,963",75.9 %,566,0.4%,2006
44,Ottapalam,45,GEN,Palakkad,M. Hamsa,Communist Party Of India (Marxist),"1,59,447","1,13,950",71.5 %,"24,343",21.4%,2006
45,Sreekrishnapuram,46,GEN,Palakkad,K.S. Saleeka,Communist Party Of India (Marxist),"1,84,636","1,41,960",76.9 %,"4,348",3.1%,2006
46,Mannarkad,47,GEN,Palakkad,Jose Baby,Communist Party Of India,"1,89,065","1,41,396",74.8 %,"7,213",5.1%,2006
47,Malampuzha,48,GEN,Palakkad,V.S. Achuthanandan,Communist Party Of India (Marxist),"1,52,322","1,16,847",76.7 %,"20,017",17.1%,2006
48,Palakkad,49,GEN,Palakkad,K.K Divakaran,Communist Party Of India (Marxist),"1,55,550","1,11,373",71.6 %,"1,344",1.2%,2006
49,Chittur,50,GEN,Palakkad,K Achuthan,Indian National Congress,"1,47,882","1,19,051",80.5 %,"2,012",1.7%,2006
50,Kollengode,51,GEN,Thrissur,V. Chenthamarakshan,Communist Party Of India (Marxist),"1,51,147","1,14,781",75.9 %,"5,126",4.5%,2006
51,Coyalmannam,52,SC,Palakkad,A.K. Balan,Communist Party Of India (Marxist),"1,57,508","1,13,913",72.3 %,"13,870",12.2%,2006
52,Alathur,53,GEN,Palakkad,M. Chandhran,Communist Party Of India (Marxist),"1,57,847","1,11,629",70.7 %,"47,671",42.7%,2006
53,Chelakkara,54,SC,Thrissur,K Radhakrishnan,Communist Party Of India (Marxist),"1,57,690","1,17,023",74.2 %,"14,629",12.5%,2006
54,Wadakkanchery,55,GEN,Thrissur,A.C.Moideen,Communist Party Of India (Marxist),"1,66,588","1,21,790",73.1 %,"20,821",17.1%,2006
55,Kunnamkulam,56,GEN,Thrissur,Babu M Palissery,Communist Party Of India (Marxist),"1,65,142","1,16,014",70.3 %,"21,785",18.8%,2006
56,Cherpu,57,GEN,Thrissur,Adv.V.S.Sunilkumar,Communist Party Of India,"1,45,868","1,04,436",71.6 %,"14,604",14.0%,2006
57,Thrissur,58,GEN,Thrissur,Adv.Therambil Ramakrishnan,Indian National Congress,"1,41,489",95517,67.5 %,"2,596",2.7%,2006
58,Ollur,59,GEN,Thrissur,Rajaji Mathew Thomas,Communist Party Of India,"1,73,657","1,22,960",70.8 %,"7,969",6.5%,2006
59,Kodakara,60,GEN,Thrissur,Prof.C.Raveendranath,Communist Party Of India (Marxist),"1,52,159","1,14,614",75.3 %,"19,883",17.3%,2006
60,Chalakkudy,61,GEN,Thrissur,B D Devassy,Communist Party Of India (Marxist),"1,36,449",95630,70.1 %,"14,555",15.2%,2006
61,Mala,62,GEN,Thrissur,A K Chandran,Communist Party Of India,"1,43,976","1,02,552",71.2 %,"7,028",6.9%,2006
62,Irinjalakkuda,63,GEN,Thrissur,Adv.Thomas Unniyadan,Kerala Congress(M),"1,54,002","1,16,116",75.4 %,"7,995",6.9%,2006
63,Manalur,64,GEN,Thrissur,Murali Perunelli,Communist Party Of India (Marxist),"1,36,457",98682,72.3 %,"7,720",7.8%,2006
64,Guruvayoor,65,GEN,Thrissur,K V Abdul Khader,Communist Party Of India (Marxist),"1,47,416","1,02,347",69.4 %,"12,309",12.0%,2006
65,Nattika,66,GEN,Thrissur,T N Prathapan,Indian National Congress,"1,35,865","1,01,399",74.6 %,"9,686",9.6%,2006
66,Kodungallur,67,GEN,Thrissur,Adv.K.P.Rajendran,Communist Party Of India,"1,50,578","1,14,980",76.4 %,"2,522",2.2%,2006
67,Angamaly,68,GEN,Ernakulam,Jose Thettayil,Janata Dal (Secular),"1,59,574","1,18,553",74.3 %,"6,094",5.1%,2006
68,Vadakkekara,69,GEN,Thrissur,S Sharma,Communist Party Of India (Marxist),"1,41,413","1,10,328",78.0 %,"3,074",2.8%,2006
69,Paravur,70,GEN,Ernakulam,Adv. V D Satheesan,Indian National Congress,"1,33,426","1,00,082",75.0 %,"7,792",7.8%,2006
70,Narakal,71,SC,Ernakulam,M K Purushothaman,Communist Party Of India (Marxist),"1,35,335",96396,71.2 %,"2,631",2.7%,2006
71,Eranakulam,72,GEN,Ernakulam,Prof. K V Thomas,Indian National Congress,"1,41,852",86829,61.2 %,"5,800",6.7%,2006
72,Mattancherry,73,GEN,Ernakulam,V K Ibrahim Kunju,Muslim League Kerala State Committee,92926,60208,64.8 %,"15,532",25.8%,2006
73,Palluruthy,74,GEN,Ernakulam,C M Dinesh Mani,Communist Party Of India (Marxist),"1,72,602","1,22,141",70.8 %,"6,258",5.1%,2006
74,Trippunithura,75,GEN,Ernakulam,K Babu,Indian National Congress,"2,02,066","1,40,000",69.3 %,"7,342",5.2%,2006
75,Aluva,76,GEN,Ernakulam,A M Yousuf,Communist Party Of India (Marxist),"1,81,995","1,27,057",69.8 %,"4,366",3.4%,2006
76,Perumbavoor,77,GEN,Ernakulam,Saju Paul,Communist Party Of India (Marxist),"1,51,391","1,19,320",78.8 %,"12,461",10.4%,2006
77,Kunnathunad,78,GEN,Ernakulam,Adv M M Monayi,Communist Party Of India (Marxist),"1,50,915","1,18,099",78.3 %,"2,057",1.7%,2006
78,Piravom,79,GEN,Ernakulam,M J Jacob,Communist Party Of India (Marxist),"1,44,261","1,07,904",74.8 %,"5,150",4.8%,2006
79,Muvattupuzha,80,GEN,Ernakulam,Babu Paul,Communist Party Of India,"1,43,555",95706,66.7 %,"13,225",13.8%,2006
80,Kothamangalam,81,GEN,Ernakulam,Chev. T. U Kuruvila,Kerala Congress,"1,56,066","1,07,661",69.0 %,"1,814",1.7%,2006
81,Thodupuzha,82,GEN,Ernakulam,P J Joseph,Kerala Congress,"1,64,884","1,27,801",77.5 %,"13,781",10.8%,2006
82,Devikulam,83,SC,Ernakulam,S Rajendran,Communist Party Of India (Marxist),"1,52,351","1,04,649",68.7 %,"5,887",5.6%,2006
83,Idukki,84,GEN,Idukki,Roshy Augustine,Kerala Congress(M),"1,59,615","1,11,846",70.1 %,"16,340",14.6%,2006
84,Udumbanchola,85,GEN,Idukki,K K Jayachandran,Communist Party Of India (Marxist),"1,83,919","1,31,167",71.3 %,"19,648",15.0%,2006
85,Peerumade,86,GEN,Idukki,E S Bijimol,Communist Party Of India,"1,32,794",90496,68.1 %,"5,304",5.9%,2006
86,Kanjirappally,87,GEN,Kottayam,Alphons Kannanthanam,Independent,"1,41,268","1,01,496",71.8 %,"10,737",10.6%,2006
87,Vazhoor,88,GEN,Kottayam,Jayarajan,Kerala Congress(M),"1,21,233",82196,67.8 %,"6,666",8.1%,2006
88,Changanassery,89,GEN,Kottayam,C F Thomas,Kerala Congress(M),"1,42,800",96795,67.8 %,"9,653",10.0%,2006
89,Kottayam,90,GEN,Kottayam,V N Vasavan,Communist Party Of India (Marxist),"1,44,841","1,00,423",69.3 %,482,0.5%,2006
90,Ettumanoor,91,GEN,Kottayam,Thomas Chazhikkadan,Kerala Congress(M),"1,38,564",96977,70.0 %,"4,980",5.1%,2006
91,Puthuppally,92,GEN,Kottayam,Oommen Chandy,Indian National Congress,"1,53,117","1,15,358",75.3 %,"19,863",17.2%,2006
